Manufacture,Model,Price,Benzine,Chassis,Status
Kia,Ceed Sportswagon,379,Benzine,Stationwagen,new
Ford,Puma,359,Benzine,SUV,new
Skoda,Kamiq,389,Benzine,SUV,new
Nissan,Micra,279,Benzine,Hatchback,occasion
Fiat,500,279,Benzine,Hatchback,occasion
Suzuki,Ignis,279,Benzine,Hatchback,new
Fiat,500,279,Benzine,Hatchback,new
Mitsubishi,Space Star,279,Benzine,Hatchback,new
Toyota,AYGO X,284,Benzine,SUV,new
Hyundai,i10,289,Benzine,Hatchback,new
Renault,Clio,299,Benzine,Hatchback,occasion
Ford,Fiesta,299,Benzine,Hatchback,occasion
Fiat,Panda,299,Benzine,Hatchback,new
Kia,Stonic,319,Benzine,SUV,occasion
Nissan,Leaf,319,Elektriciteit,Hatchback,occasion
Dacia,Sandero,324,Benzine,Hatchback,new
Fiat,500C,324,Benzine,Cabriolet,new
Mazda,2,334,Benzine,Hatchback,new
Opel,Corsa,339,Benzine,Hatchback,occasion
Citroen,C3,339,Benzine,Hatchback,new
Mitsubishi,Colt,339,Benzine,Hatchback,new
Renault,Twingo,339,Elektriciteit,Hatchback,new
Hyundai,Ioniq,344,Elektriciteit,Hatchback,occasion
Hyundai,i20,344,Benzine,Hatchback,new
Volkswagen,Polo,349,Benzine,Hatchback,occasion
Skoda,Fabia,349,Benzine,Hatchback,new
Renault,Clio,354,Benzine,Hatchback,new
Opel,Astra,359,Benzine,Hatchback,occasion
Peugeot,208,359,Benzine,Hatchback,new
Dacia,Sandero Stepway,359,Benzine,Hatchback,new
Fiat,500e,359,Elektriciteit,Hatchback,new
Seat,Ibiza,359,Benzine,Hatchback,new
Toyota,Yaris,364,Benzine,Hatchback,new
Hyundai,i30,369,Benzine,Hatchback,occasion
Ford,Puma,369,Hybride benzine,SUV,occasion
Peugeot,208,369,Benzine,Hatchback,occasion
Opel,Corsa,369,Benzine,Hatchback,new
Toyota,Yaris,374,Hybride benzine,Hatchback,new
Kia,Rio,379,Benzine,Hatchback,occasion
Hyundai,i20,379,Benzine,Hatchback,new
Hyundai,KONA,384,Elektriciteit,SUV,occasion
Volkswagen,Golf,384,Elektriciteit,Hatchback,occasion
Suzuki,Vitara,384,Benzine,SUV,new
Renault,Clio,384,Hybride benzine,Hatchback,new
Mazda,2,389,Hybride benzine,Hatchback,new
Ford,Focus,399,Benzine,Hatchback,occasion
Dacia,Jogger,399,Benzine,Stationwagen,new
Kia,Stonic,399,Benzine,SUV,new
Fiat,500e,399,Elektriciteit,Cabriolet,new
BYD,Dolphin,399,Elektriciteit,Hatchback,new
Volkswagen,Polo,399,Benzine,Hatchback,new
Peugeot,208,404,Benzine,Hatchback,new
Ford,Puma,409,Benzine,SUV,occasion
Hyundai,i30,409,Benzine,Hatchback,new
Renault,Captur,414,Benzine,SUV,new
Seat,Arona,414,Benzine,SUV,new
Opel,Crossland,419,Benzine,SUV,occasion
